Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,12,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,18,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,17.5,kgs,4,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,8,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,4,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,5,,,
2025-05-20,Seated Machine Fly,Chest,25.0,kgs,12,,,
2025-05-20,Seated Machine Fly,Chest,40.0,kgs,7,,,
2025-05-20,Seated Machine Fly,Chest,40.0,kgs,9,,,
2025-05-20,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,10,,,
2025-05-20,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-20,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,7,,,
2025-05-20,Dumbbell Hammer Curl (Each Side),Biceps,3.75,kgs,15,,,
2025-05-20,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,8,,,
2025-05-20,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,10,,,
2025-05-20,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,10,,,
2025-05-20,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,8,,,
2025-05-20,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-20,Dumbbell Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-05-20,Dumbbell Curl (Each Side),Biceps,8.0,kgs,4,,,
2025-05-20,Dumbbell Curl (Each Side),Biceps,8.0,kgs,3,,,
2025-05-20,Lat Pulldown,Back,30.0,kgs,12,,,
2025-05-20,Lat Pulldown,Back,40.0,kgs,7,,,
2025-05-20,Lat Pulldown,Back,50.0,kgs,3,,,
2025-05-20,Lat Pulldown,Back,40.0,kgs,5,,,
2025-05-20,Seated Cable Row,Back,30.0,kgs,8,,,
2025-05-20,Seated Cable Row,Back,30.0,kgs,6,,,
2025-05-20,Seated Cable Row,Back,30.0,kgs,4,,,
2025-05-20,Triceps Pushdown,Triceps,10.0,kgs,12,,,
2025-05-20,Triceps Pushdown,Triceps,15.0,kgs,6,,,
2025-05-20,Triceps Pushdown,Triceps,15.0,kgs,6,,,
2025-05-21,Squat Machine (Each Side),Legs,20.0,kgs,12,,,
2025-05-21,Squat Machine (Each Side),Legs,40.0,kgs,8,,,
2025-05-21,Squat Machine (Each Side),Legs,45.0,kgs,8,,,
2025-05-21,Squat Machine (Each Side),Legs,50.0,kgs,6,,,
2025-05-21,Squat Machine (Each Side),Legs,55.0,kgs,4,,,
2025-05-21,Seated Calf Raise Machine (Each Side),Legs,5.0,kgs,15,,,
2025-05-21,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,15,,,
